NU_ANO_CENSO,TP_RESPONSAVEL_REGULAMENTACAO,NO_ENTIDADE,NO_MUNICIPIO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,QT_MAT_INF_CRE
2021,3.0,ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI,Fortaleza,AVENIDA DOUTOR THEBERGE,448,ALVARO WEYNE,110.0
2021,3.0,ESCOLA MUNICIPAL SEBASTIAO DE ABREU,Fortaleza,RUA GERALDO BARBOSA,1065,BOM JARDIM,94.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA TEREZINHA FERREIRA PARENTE,Fortaleza,RUA NELSON COELHO,209,LAGOA REDONDA,233.0
2021,3.0,ESCOLA MUNICIPAL THOMAZ POMPEU SOBRINHO,Fortaleza,RUA JOSE MENELEU,531,ITAPERI,40.0
2021,3.0,ESCOLA MUNICIPAL TRISTAO DE ALENCAR,Fortaleza,RUA JOSE NOGUEIRA,69,PEDRAS,357.0
2021,3.0,ESCOLA MUNICIPAL VICENTE FIALHO,Fortaleza,RUA IRMA BAZET,193,MONTESE,92.0
2021,3.0,ESCOLA MUNICIPAL YOLANDA QUEIROZ,Fortaleza,AVENIDA GENERAL MURILO BORGES,864,ALTO DA BALANCA,133.0
2021,3.0,ESCOLA MUNICIPAL CASIMIRO MONTENEGRO,Fortaleza,AVENIDA BERNARDO MANUEL,11360,PREFEITO JOSE WALTER,192.0
2021,3.0,ESCOLA MUNICIPAL MANUEL LIMA SOARES,Fortaleza,RUA 130,60,PARQUE DOIS IRMAOS,88.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR DENIZARD MACEDO DE ALCANTARA,Fortaleza,RUA DEPUTADO MATOSO FILHO,450,OLAVO OLIVEIRA,58.0
2021,3.0,ESCOLA MUNICIPAL PADRE ANTONIO MONTEIRO DA CRUZ,Fortaleza,RUA DE PEDESTRE XIII,25,CANINDEZINHO,56.0
2021,3.0,ESCOLA MUNICIPAL JOAQUIM NOGUEIRA,Fortaleza,RUA PADRE PERDIGAO SAMPAIO,250,QUINTINO CUNHA,91.0
2021,3.0,ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA,Fortaleza,AVENIDA DIOGUINHO,5925,ANTONIO DIOGO,93.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR OSMIRIO DE OLIVEIRA BARRETO,Fortaleza,RUA 10,S N,MONDUBIM,146.0
2021,3.0,ESCOLA MUNICIPAL JOSE MOREIRA LEITAO,Fortaleza,RUA HONORINA MAIA,467,PARQUE SANTA MARIA,199.0
2021,3.0,ESCOLA MUNICIPAL MADRE TERESA DE CALCUTA,Fortaleza,RUA GUILHERME MOREIRA,75,FATIMA,135.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR LUIS COSTA,Fortaleza,RUA JAIME LEONEL,156,ENGENHEIRO LUCIANO CAVALCANTE,111.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR CLODOALDO PINTO,Fortaleza,RUA BANVARTH BEZERRA,100,PADRE ANDRADE,93.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA LIDUINA CORREA LEITE,Fortaleza,RUA FERNAO MAGALHAES,120,PICI,153.0
2021,3.0,ESCOLA MUNICIPAL MARIA ROSELI LIMA MESQUITA,Fortaleza,RUA FRANCISCO CALACA,1791,ALVARO WEYNE,197.0
2021,3.0,ESCOLA MUNICIPAL MARCOS VALENTIM PEREIRA DE SOUZA,Fortaleza,RUA FREIRE ALEMAO,91,SERRINHA,261.0
